epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,19545.8,1.34271,0.94728,0.90769,0.43878,0.32902,0.32776,0.18982,1.31398,0.96188,0.90304,0.0002278,0.0002278,0.0002278
80,19739.9,1.34315,0.94529,0.90796,0.44211,0.32919,0.32631,0.19004,1.31434,0.96148,0.90318,0.0002179,0.0002179,0.0002179
81,19932.7,1.33577,0.94217,0.90759,0.4258,0.33266,0.32634,0.18984,1.31232,0.96209,0.90264,0.000208,0.000208,0.000208
82,20141.3,1.33912,0.93785,0.90652,0.43008,0.33165,0.32585,0.18915,1.31277,0.96287,0.90281,0.0001981,0.0001981,0.0001981
83,20351.6,1.3374,0.94052,0.90503,0.43426,0.32631,0.32488,0.18906,1.31316,0.9628,0.90314,0.0001882,0.0001882,0.0001882
84,20563.6,1.33407,0.9364,0.90549,0.44022,0.3275,0.32701,0.19002,1.31272,0.95965,0.9027,0.0001783,0.0001783,0.0001783
85,20778.9,1.32545,0.92663,0.90383,0.43624,0.32914,0.32749,0.19029,1.313,0.96042,0.90258,0.0001684,0.0001684,0.0001684
86,20999.2,1.3279,0.92893,0.90336,0.43554,0.3298,0.32876,0.19052,1.31109,0.95889,0.90227,0.0001585,0.0001585,0.0001585
87,21216.1,1.32588,0.92862,0.90552,0.4361,0.33014,0.32912,0.19045,1.31122,0.95875,0.90255,0.0001486,0.0001486,0.0001486
88,21432.5,1.3309,0.92765,0.90401,0.43732,0.32956,0.32827,0.19033,1.31169,0.95893,0.9021,0.0001387,0.0001387,0.0001387
89,21650.2,1.32761,0.926,0.90492,0.43787,0.3308,0.32818,0.19052,1.3118,0.95865,0.90218,0.0001288,0.0001288,0.0001288
90,52979.5,1.32398,0.92253,0.90417,0.4434,0.32673,0.32796,0.19015,1.31228,0.95903,0.90236,0.0001189,0.0001189,0.0001189
91,53182.1,1.29744,0.90403,0.90391,0.42909,0.33194,0.32447,0.18854,1.31471,0.96219,0.90288,0.000109,0.000109,0.000109
92,53384.8,1.28797,0.88569,0.90166,0.43035,0.32701,0.32389,0.18826,1.31345,0.96275,0.90257,9.91e-05,9.91e-05,9.91e-05
93,53589.7,1.28118,0.88344,0.90035,0.43301,0.32621,0.32378,0.18781,1.3139,0.96218,0.90237,8.92e-05,8.92e-05,8.92e-05
94,53794.2,1.28463,0.88128,0.90043,0.44104,0.32497,0.32424,0.18837,1.31343,0.96179,0.90248,7.93e-05,7.93e-05,7.93e-05
95,53996.7,1.27976,0.87765,0.89898,0.44252,0.32366,0.32419,0.1883,1.31377,0.96199,0.90243,6.94e-05,6.94e-05,6.94e-05
96,54202.3,1.27653,0.87241,0.89907,0.43726,0.32742,0.32521,0.18927,1.31343,0.9607,0.90225,5.95e-05,5.95e-05,5.95e-05
97,54409.7,1.27672,0.8727,0.89801,0.4371,0.32675,0.32506,0.18955,1.31391,0.96095,0.90248,4.96e-05,4.96e-05,4.96e-05
98,54613.4,1.27217,0.87083,0.89759,0.44339,0.32406,0.32543,0.18992,1.31384,0.96038,0.90253,3.97e-05,3.97e-05,3.97e-05
99,54820.5,1.27064,0.86805,0.89778,0.44437,0.32315,0.3262,0.18974,1.31425,0.96001,0.9026,2.98e-05,2.98e-05,2.98e-05
100,55025.9,1.27104,0.86664,0.89832,0.4435,0.32301,0.32618,0.18983,1.31429,0.9601,0.90267,1.99e-05,1.99e-05,1.99e-05
